Domain,Longest Common URL,"Level of Extremeism (for the denoted sentiment, how extreme is this site on a scale of 1 (centrist) to 5 (extremeist)"
http://www.climate-skeptic.com,http://www.climate-skeptic.com/20??/*,
https://theclimatescepticsparty.blogspot.com/,https://theclimatescepticsparty.blogspot.com/20??/*,
http://merionwest.com/2017/04/25/richard-lindzen-thoughts-on-the-public-discourse-over-climate-change/,http://merionwest.com/2017/04/25/richard-lindzen-thoughts-on-the-public-discourse-over-climate-change/,
https://wattsupwiththat.com/,https://wattsupwiththat.com/20??/*,
http://notrickszone.com/,http://notrickszone.com/20??/*,
http://climatechangedispatch.com/,http://climatechangedispatch.com/,
http://www.climatecommonsense2.com/,http://www.climatecommonsense2.com/20??/*,
http://www.c3headlines.com/,http://www.c3headlines.com/20??/*,
http://climaterealists.com/,http://climaterealists.com/index.php?id=,
http://www.climate-resistance.org/,http://www.climate-resistance.org/20??/*,
http://www.co2science.org,http://www.co2science.org/articles/,
http://www.drroyspencer.com/,http://www.drroyspencer.com/20??/*,
https://climateaudit.org,https://climateaudit.org/20??/*,
https://tomnelson.blogspot.com/,https://tomnelson.blogspot.com/20??/*,
https://cliscep.com/,https://cliscep.com/20??/*,
https://judithcurry.com,https://judithcurry.com/20??/*,
https://australianclimatemadness.com/,https://australianclimatemadness.com/20??/*,
http://clivebest.com/blog/,http://clivebest.com/blog/?p=,
https://notalotofpeopleknowthat.wordpress.com,https://notalotofpeopleknowthat.wordpress.com/20??/*,
